Freq.	S21(v1)
5.00000000000000e+02	-6.28763351983148e-11,-1.28274220350664e-08
5.01919302519481e+02	-6.28965306888560e-11,-1.27784081821757e-08
5.03845972483285e+02	-6.29165774136309e-11,-1.27295818978332e-08
5.05780038172120e+02	-6.29364765486132e-11,-1.26809424653432e-08
5.07721527975254e+02	-6.29562292631894e-11,-1.26324891707523e-08
5.09670470390930e+02	-6.29758367171739e-11,-1.25842213028398e-08
5.11626894026783e+02	-6.29953000614752e-11,-1.25361381531066e-08
5.13590827600263e+02	-6.30146204396111e-11,-1.24882390157650e-08
5.15562299939054e+02	-6.30337989851455e-11,-1.24405231877284e-08
5.17541339981499e+02	-6.30528368252269e-11,-1.23929899686011e-08
5.19527976777024e+02	-6.30717350768274e-11,-1.23456386606675e-08
5.21522239486562e+02	-6.30904948498256e-11,-1.22984685688824e-08
5.23524157382986e+02	-6.31091172458104e-11,-1.22514790008608e-08
5.25533759851535e+02	-6.31276033587087e-11,-1.22046692668672e-08
5.27551076390246e+02	-6.31459542734882e-11,-1.21580386798059e-08
5.29576136610388e+02	-6.31641710679417e-11,-1.21115865552112e-08
5.31608970236895e+02	-6.31822548115398e-11,-1.20653122112364e-08
5.33649607108804e+02	-6.32002065661346e-11,-1.20192149686449e-08
5.35698077179692e+02	-6.32180273859775e-11,-1.19732941507993e-08
5.37754410518116e+02	-6.32357183175232e-11,-1.19275490836523e-08
5.39818637308056e+02	-6.32532803989500e-11,-1.18819790957361e-08
5.41890787849352e+02	-6.32707146627071e-11,-1.18365835181529e-08
5.43970892558158e+02	-6.32880221313042e-11,-1.17913616845649e-08
5.46058981967381e+02	-6.33052038217053e-11,-1.17463129311850e-08
5.48155086727131e+02	-6.33222607431051e-11,-1.17014365967662e-08
5.50259237605175e+02	-6.33391938964138e-11,-1.16567320225927e-08
5.52371465487382e+02	-6.33560042759581e-11,-1.16121985524700e-08
5.54491801378181e+02	-6.33726928690657e-11,-1.15678355327148e-08
5.56620276401015e+02	-6.33892606561835e-11,-1.15236423121462e-08
5.58756921798796e+02	-6.34057086089831e-11,-1.14796182420755e-08
5.60901768934368e+02	-6.34220376943518e-11,-1.14357626762969e-08
5.63054849290963e+02	-6.34382488709767e-11,-1.13920749710781e-08
5.65216194472663e+02	-6.34543430904409e-11,-1.13485544851508e-08
5.67385836204869e+02	-6.34703212977772e-11,-1.13052005797014e-08
5.69563806334761e+02	-6.34861844315057e-11,-1.12620126183610e-08
5.71750136831768e+02	-6.35019334230582e-11,-1.12189899671971e-08
5.73944859788038e+02	-6.35175691971918e-11,-1.11761319947035e-08
5.76148007418907e+02	-6.35330926720999e-11,-1.11334380717912e-08
5.78359612063374e+02	-6.35485047593800e-11,-1.10909075717794e-08
5.80579706184573e+02	-6.35638063642814e-11,-1.10485398703859e-08
5.82808322370252e+02	-6.35789983848255e-11,-1.10063343457187e-08
5.85045493333252e+02	-6.35940817131581e-11,-1.09642903782657e-08
5.87291251911983e+02	-6.36090572354207e-11,-1.09224073508867e-08
5.89545631070911e+02	-6.36239258308790e-11,-1.08806846488036e-08
5.91808663901038e+02	-6.36386883726855e-11,-1.08391216595921e-08
5.94080383620390e+02	-6.36533457274599e-11,-1.07977177731719e-08
5.96360823574504e+02	-6.36678987559577e-11,-1.07564723817982e-08
5.98650017236917e+02	-6.36823483131733e-11,-1.07153848800529e-08
6.00947998209658e+02	-6.36966952475083e-11,-1.06744546648352e-08
6.03254800223740e+02	-6.37109404010227e-11,-1.06336811353535e-08
6.05570457139657e+02	-6.37250846107373e-11,-1.05930636931158e-08
6.07895002947880e+02	-6.37391287069075e-11,-1.05526017419215e-08
6.10228471769356e+02	-6.37530735148358e-11,-1.05122946878522e-08
6.12570897856008e+02	-6.37669198523348e-11,-1.04721419392635e-08
6.14922315591240e+02	-6.37806685337732e-11,-1.04321429067756e-08
6.17282759490439e+02	-6.37943203660389e-11,-1.03922970032656e-08
6.19652264201484e+02	-6.38078761504067e-11,-1.03526036438579e-08
6.22030864505252e+02	-6.38213366835174e-11,-1.03130622459163e-08
6.24418595316132e+02	-6.38347027560089e-11,-1.02736722290351e-08
6.26815491682534e+02	-6.38479751519839e-11,-1.02344330150308e-08
6.29221588787407e+02	-6.38611546515834e-11,-1.01953440279334e-08
6.31636921948750e+02	-6.38742420282669e-11,-1.01564046939783e-08
6.34061526620137e+02	-6.38872380513960e-11,-1.01176144415972e-08
6.36495438391234e+02	-6.39001434831505e-11,-1.00789727014106e-08
6.38938692988319e+02	-6.39129590824679e-11,-1.00404789062187e-08
6.41391326274812e+02	-6.39256856014070e-11,-1.00021324909934e-08
6.43853374251797e+02	-6.39383237874857e-11,-9.96393289287016e-09
6.46324873058553e+02	-6.39508743827917e-11,-9.92587955113936e-09
6.48805858973083e+02	-6.39633381241414e-11,-9.88797190723830e-09
6.51296368412645e+02	-6.39757157443959e-11,-9.85020940474295e-09
6.53796437934292e+02	-6.39880079699952e-11,-9.81259148935986e-09
6.56306104235402e+02	-6.40002155223561e-11,-9.77511760891790e-09
6.58825404154222e+02	-6.40123391195129e-11,-9.73778721336029e-09
6.61354374670405e+02	-6.40243794723293e-11,-9.70059975473632e-09
6.63893052905555e+02	-6.40363372886127e-11,-9.66355468719355e-09
6.66441476123770e+02	-6.40482132706387e-11,-9.62665146696966e-09
6.68999681732192e+02	-6.40600081159872e-11,-9.58988955238447e-09
6.71567707281554e+02	-6.40717225168856e-11,-9.55326840383204e-09
6.74145590466729e+02	-6.40833571616410e-11,-9.51678748377273e-09
6.76733369127289e+02	-6.40949127336283e-11,-9.48044625672532e-09
6.79331081248056e+02	-6.41063899115727e-11,-9.44424418925906e-09
6.81938764959658e+02	-6.41177893693299e-11,-9.40818074998600e-09
6.84556458539096e+02	-6.41291117768367e-11,-9.37225540955312e-09
6.87184200410299e+02	-6.41403577986376e-11,-9.33646764063446e-09
6.89822029144689e+02	-6.41515280953464e-11,-9.30081691792353e-09
6.92469983461751e+02	-6.41626233233865e-11,-9.26530271812555e-09
6.95128102229598e+02	-6.41736441343605e-11,-9.22992451994972e-09
6.97796424465541e+02	-6.41845911750361e-11,-9.19468180410167e-09
7.00474989336664e+02	-6.41954650891687e-11,-9.15957405327568e-09
7.03163836160399e+02	-6.42062665152191e-11,-9.12460075214727e-09
7.05863004405100e+02	-6.42169960873615e-11,-9.08976138736553e-09
7.08572533690627e+02	-6.42276544357962e-11,-9.05505544754560e-09
7.11292463788922e+02	-6.42382421872590e-11,-9.02048242326114e-09
7.14022834624598e+02	-6.42487599628174e-11,-8.98604180703691e-09
7.16763686275523e+02	-6.42592083806099e-11,-8.95173309334134e-09
7.19515058973405e+02	-6.42695880545643e-11,-8.91755577857899e-09
7.22276993104390e+02	-6.42798995944118e-11,-8.88350936108328e-09
7.25049529209647e+02	-6.42901436052270e-11,-8.84959334110909e-09
7.27832707985969e+02	-6.43003206896456e-11,-8.81580722082539e-09
7.30626570286365e+02	-6.43104314447145e-11,-8.78215050430793e-09
7.33431157120667e+02	-6.43204764649814e-11,-8.74862269753207e-09
7.36246509656122e+02	-6.43304563402707e-11,-8.71522330836544e-09
7.39072669218007e+02	-6.43403716566632e-11,-8.68195184656067e-09
7.41909677290226e+02	-6.43502229970394e-11,-8.64880782374828e-09
7.44757575515928e+02	-6.43600109395937e-11,-8.61579075342952e-09
7.47616405698108e+02	-6.43697360599012e-11,-8.58290015096918e-09
7.50486209800232e+02	-6.43793989288129e-11,-8.55013553358843e-09
7.53367029946843e+02	-6.43890001142420e-11,-8.51749642035793e-09
7.56258908424186e+02	-6.43985401802610e-11,-8.48498233219050e-09
7.59161887680823e+02	-6.44080196873464e-11,-8.45259279183429e-09
7.62076010328263e+02	-6.44174391922645e-11,-8.42032732386575e-09
7.65001319141581e+02	-6.44267992485857e-11,-8.38818545468259e-09
7.67937857060051e+02	-6.44361004059699e-11,-8.35616671249678e-09
7.70885667187772e+02	-6.44453432111751e-11,-8.32427062732782e-09
7.73844792794303e+02	-6.44545282070073e-11,-8.29249673099568e-09
7.76815277315298e+02	-6.44636559334131e-11,-8.26084455711391e-09
7.79797164353143e+02	-6.44727269265727e-11,-8.22931364108295e-09
7.82790497677598e+02	-6.44817417192362e-11,-8.19790352008318e-09
7.85795321226435e+02	-6.44907008412849e-11,-8.16661373306817e-09
7.88811679106088e+02	-6.44996048191295e-11,-8.13544382075788e-09
7.91839615592297e+02	-6.45084541760592e-11,-8.10439332563202e-09
7.94879175130760e+02	-6.45172494316415e-11,-8.07346179192319e-09
7.97930402337783e+02	-6.45259911031814e-11,-8.04264876561034e-09
8.00993342000938e+02	-6.45346797040612e-11,-8.01195379441194e-09
8.04068039079719e+02	-6.45433157449454e-11,-7.98137642777955e-09
8.07154538706199e+02	-6.45518997334714e-11,-7.95091621689099e-09
8.10252886185698e+02	-6.45604321736273e-11,-7.92057271464394e-09
8.13363126997444e+02	-6.45689135672640e-11,-7.89034547564923e-09
8.16485306795243e+02	-6.45773444124661e-11,-7.86023405622439e-09
8.19619471408146e+02	-6.45857252050245e-11,-7.83023801438715e-09
8.22765666841125e+02	-6.45940564373141e-11,-7.80035690984885e-09
8.25923939275747e+02	-6.46023385990308e-11,-7.77059030400816e-09
8.29094335070850e+02	-6.46105721767255e-11,-7.74093775994439e-09
8.32276900763229e+02	-6.46187576544562e-11,-7.71139884241137e-09
8.35471683068310e+02	-6.46268955134731e-11,-7.68197311783078e-09
8.38678728880847e+02	-6.46349862318259e-11,-7.65266015428604e-09
8.41898085275600e+02	-6.46430302852442e-11,-7.62345952151574e-09
8.45129799508032e+02	-6.46510281462249e-11,-7.59437079090750e-09
8.48373919015000e+02	-6.46589802853032e-11,-7.56539353549164e-09
8.51630491415456e+02	-6.46668871696539e-11,-7.53652732993482e-09
8.54899564511137e+02	-6.46747492638980e-11,-7.50777175053397e-09
8.58181186287277e+02	-6.46825670305225e-11,-7.47912637520985e-09
8.61475404913302e+02	-6.46903409290341e-11,-7.45059078350102e-09
8.64782268743544e+02	-6.46980714164806e-11,-7.42216455655772e-09
8.68101826317949e+02	-6.47057589469429e-11,-7.39384727713550e-09
8.71434126362785e+02	-6.47134039728153e-11,-7.36563852958931e-09
8.74779217791365e+02	-6.47210069433875e-11,-7.33753789986730e-09
8.78137149704759e+02	-6.47285683054785e-11,-7.30954497550475e-09
8.81507971392516e+02	-6.47360885041730e-11,-7.28165934561801e-09
8.84891732333389e+02	-6.47435679809196e-11,-7.25388060089854e-09
8.88288482196060e+02	-6.47510071759658e-11,-7.22620833360685e-09
8.91698270839870e+02	-6.47584065266769e-11,-7.19864213756643e-09
8.95121148315550e+02	-6.47657664680257e-11,-7.17118160815798e-09
8.98557164865956e+02	-6.47730874328793e-11,-7.14382634231336e-09
9.02006370926806e+02	-6.47803698516913e-11,-7.11657593850965e-09
9.05468817127422e+02	-6.47876141527181e-11,-7.08942999676330e-09
9.08944554291471e+02	-6.47948207620913e-11,-7.06238811862426e-09
9.12433633437711e+02	-6.48019901035348e-11,-7.03544990717016e-09
9.15936105780744e+02	-6.48091225988589e-11,-7.00861496700042e-09
9.19452022731762e+02	-6.48162186672830e-11,-6.98188290423046e-09
9.22981435899304e+02	-6.48232787263377e-11,-6.95525332648600e-09
9.26524397090016e+02	-6.48303031912274e-11,-6.92872584289722e-09
9.30080958309408e+02	-6.48372924752508e-11,-6.90230006409300e-09
9.33651171762617e+02	-6.48442469892852e-11,-6.87597560219537e-09
9.37235089855179e+02	-6.48511671428357e-11,-6.84975207081356e-09
9.40832765193789e+02	-6.48580533427698e-11,-6.82362908503857e-09
9.44444250587083e+02	-6.48649059941443e-11,-6.79760626143744e-09
9.48069599046406e+02	-6.48717255002024e-11,-6.77168321804752e-09
9.51708863786592e+02	-6.48785122621150e-11,-6.74585957437103e-09
9.55362098226749e+02	-6.48852666792313e-11,-6.72013495136936e-09
9.59029355991036e+02	-6.48919891489957e-11,-6.69450897145757e-09
9.62710690909456e+02	-6.48986800669973e-11,-6.66898125849881e-09
9.66406157018644e+02	-6.49053398267861e-11,-6.64355143779889e-09
9.70115808562660e+02	-6.49119688204830e-11,-6.61821913610060e-09
9.73839699993786e+02	-6.49185674381719e-11,-6.59298398157842e-09
9.77577885973324e+02	-6.49251360681416e-11,-6.56784560383297e-09
9.81330421372400e+02	-6.49316750971467e-11,-6.54280363388561e-09
9.85097361272767e+02	-6.49381849097097e-11,-6.51785770417300e-09
9.88878760967617e+02	-6.49446658893859e-11,-6.49300744854168e-09
9.92674675962391e+02	-6.49511184174116e-11,-6.46825250224280e-09
9.96485161975590e+02	-6.49575428737936e-11,-6.44359250192668e-09
1.00031027493960e+03	-6.49639396367101e-11,-6.41902708563748e-09
1.00415007100151e+03	-6.49703090827636e-11,-6.39455589280792e-09
1.00800460652393e+03	-6.49766515869257e-11,-6.37017856425401e-09
1.01187393808583e+03	-6.49829675226076e-11,-6.34589474216975e-09
1.01575812248336e+03	-6.49892572618485e-11,-6.32170407012182e-09
1.01965721673069e+03	-6.49955211747792e-11,-6.29760619304446e-09
1.02357127806085e+03	-6.50017596306136e-11,-6.27360075723424e-09
1.02750036392655e+03	-6.50079729964984e-11,-6.24968741034480e-09
1.03144453200106e+03	-6.50141616385018e-11,-6.22586580138171e-09
1.03540384017901e+03	-6.50203259212569e-11,-6.20213558069741e-09
1.03937834657728e+03	-6.50264662076012e-11,-6.17849639998589e-09
1.04336810953584e+03	-6.50325828593126e-11,-6.15494791227781e-09
1.04737318761860e+03	-6.50386762367500e-11,-6.13148977193523e-09
1.05139363961426e+03	-6.50447466990109e-11,-6.10812163464661e-09
1.05542952453722e+03	-6.50507946037752e-11,-6.08484315742174e-09
1.05948090162838e+03	-6.50568203072607e-11,-6.06165399858678e-09
1.06354783035605e+03	-6.50628241646454e-11,-6.03855381777912e-09
1.06763037041684e+03	-6.50688065295194e-11,-6.01554227594247e-09
1.07172858173647e+03	-6.50747677548952e-11,-5.99261903532190e-09
1.07584252447072e+03	-6.50807081917455e-11,-5.96978375945881e-09
1.07997225900628e+03	-6.50866281903446e-11,-5.94703611318610e-09
1.08411784596165e+03	-6.50925280997602e-11,-5.92437576262313e-09
1.08827934618798e+03	-6.50984082677133e-11,-5.90180237517092e-09
1.09245682077006e+03	-6.51042690408532e-11,-5.87931561950720e-09
1.09665033102712e+03	-6.51101107648023e-11,-5.85691516558164e-09
1.10085993851378e+03	-6.51159337839471e-11,-5.83460068461092e-09
1.10508570502095e+03	-6.51217384418886e-11,-5.81237184907390e-09
1.10932769257673e+03	-6.51275250806645e-11,-5.79022833270697e-09
1.11358596344731e+03	-6.51332940419015e-11,-5.76816981049904e-09
1.11786058013792e+03	-6.51390456655582e-11,-5.74619595868693e-09
1.12215160539369e+03	-6.51447802911616e-11,-5.72430645475054e-09
1.12645910220064e+03	-6.51504982569317e-11,-5.70250097740821e-09
1.13078313378653e+03	-6.51561999003321e-11,-5.68077920661188e-09
1.13512376362186e+03	-6.51618855576074e-11,-5.65914082354254e-09
1.13948105542074e+03	-6.51675555645109e-11,-5.63758551060540e-09
1.14385507314188e+03	-6.51732102555120e-11,-5.61611295142537e-09
1.14824588098949e+03	-6.51788499644308e-11,-5.59472283084234e-09
1.15265354341422e+03	-6.51844750241603e-11,-5.57341483490656e-09
1.15707812511415e+03	-6.51900857668229e-11,-5.55218865087407e-09
1.16151969103569e+03	-6.51956825234863e-11,-5.53104396720210e-09
1.16597830637455e+03	-6.52012656249123e-11,-5.50998047354449e-09
1.17045403657672e+03	-6.52068354005672e-11,-5.48899786074712e-09
1.17494694733940e+03	-6.52123921794589e-11,-5.46809582084344e-09
1.17945710461197e+03	-6.52179362899074e-11,-5.44727404704988e-09
