w	gain	V(onoise)
5.000000000000000e+05	4.022014e-01	1.525128e-10
5.011526190389498e+05	4.014331e-01	1.522205e-10
5.023078951391975e+05	4.006656e-01	1.519286e-10
5.034658344259020e+05	3.998989e-01	1.516369e-10
5.046264430383421e+05	3.991332e-01	1.513457e-10
5.057897271299491e+05	3.983684e-01	1.510547e-10
5.069556928683395e+05	3.976043e-01	1.507641e-10
5.081243464353476e+05	3.968412e-01	1.504739e-10
5.092956940270583e+05	3.960790e-01	1.501840e-10
5.104697418538397e+05	3.953176e-01	1.498945e-10
5.116464961403768e+05	3.945572e-01	1.496053e-10
5.128259631257035e+05	3.937976e-01	1.493164e-10
5.140081490632364e+05	3.930389e-01	1.490280e-10
5.151930602208077e+05	3.922811e-01	1.487398e-10
5.163807028806984e+05	3.915242e-01	1.484521e-10
5.175710833396715e+05	3.907682e-01	1.481646e-10
5.187642079090059e+05	3.900131e-01	1.478776e-10
5.199600829145292e+05	3.892589e-01	1.475908e-10
5.211587146966516e+05	3.885055e-01	1.473045e-10
5.223601096103996e+05	3.877532e-01	1.470185e-10
5.235642740254493e+05	3.870017e-01	1.467328e-10
5.247712143261606e+05	3.862511e-01	1.464475e-10
5.259809369116109e+05	3.855014e-01	1.461626e-10
5.271934481956288e+05	3.847527e-01	1.458780e-10
5.284087546068286e+05	3.840048e-01	1.455938e-10
5.296268625886437e+05	3.832579e-01	1.453099e-10
5.308477785993615e+05	3.825119e-01	1.450264e-10
5.320715091121572e+05	3.817668e-01	1.447433e-10
5.332980606151280e+05	3.810226e-01	1.444605e-10
5.345274396113281e+05	3.802794e-01	1.441781e-10
5.357596526188023e+05	3.795371e-01	1.438960e-10
5.369947061706214e+05	3.787957e-01	1.436143e-10
5.382326068149165e+05	3.780553e-01	1.433330e-10
5.394733611149134e+05	3.773158e-01	1.430521e-10
5.407169756489679e+05	3.765772e-01	1.427714e-10
5.419634570106006e+05	3.758396e-01	1.424912e-10
5.432128118085315e+05	3.751029e-01	1.422114e-10
5.444650466667154e+05	3.743671e-01	1.419319e-10
5.457201682243769e+05	3.736323e-01	1.416527e-10
5.469781831360455e+05	3.728985e-01	1.413740e-10
5.482390980715910e+05	3.721655e-01	1.410956e-10
5.495029197162590e+05	3.714336e-01	1.408175e-10
5.507696547707060e+05	3.707025e-01	1.405399e-10
5.520393099510351e+05	3.699725e-01	1.402626e-10
5.533118919888316e+05	3.692434e-01	1.399856e-10
5.545874076311989e+05	3.685152e-01	1.397091e-10
5.558658636407939e+05	3.677880e-01	1.394329e-10
5.571472667958633e+05	3.670618e-01	1.391571e-10
5.584316238902789e+05	3.663365e-01	1.388817e-10
5.597189417335740e+05	3.656121e-01	1.386066e-10
5.610092271509799e+05	3.648888e-01	1.383319e-10
5.623024869834614e+05	3.641664e-01	1.380576e-10
5.635987280877534e+05	3.634450e-01	1.377836e-10
5.648979573363971e+05	3.627245e-01	1.375100e-10
5.662001816177767e+05	3.620050e-01	1.372368e-10
5.675054078361557e+05	3.612865e-01	1.369640e-10
5.688136429117136e+05	3.605689e-01	1.366916e-10
5.701248937805825e+05	3.598523e-01	1.364195e-10
5.714391673948839e+05	3.591367e-01	1.361478e-10
5.727564707227659e+05	3.584221e-01	1.358765e-10
5.740768107484394e+05	3.577085e-01	1.356056e-10
5.754001944722158e+05	3.569958e-01	1.353350e-10
5.767266289105440e+05	3.562841e-01	1.350648e-10
5.780561210960472e+05	3.555734e-01	1.347950e-10
5.793886780775607e+05	3.548637e-01	1.345256e-10
5.807243069201690e+05	3.541549e-01	1.342565e-10
5.820630147052433e+05	3.534472e-01	1.339878e-10
5.834048085304789e+05	3.527404e-01	1.337195e-10
5.847496955099331e+05	3.520346e-01	1.334516e-10
5.860976827740627e+05	3.513298e-01	1.331841e-10
5.874487774697623e+05	3.506260e-01	1.329170e-10
5.888029867604012e+05	3.499232e-01	1.326502e-10
5.901603178258623e+05	3.492214e-01	1.323838e-10
5.915207778625798e+05	3.485205e-01	1.321178e-10
5.928843740835774e+05	3.478207e-01	1.318522e-10
5.942511137185065e+05	3.471219e-01	1.315869e-10
5.956210040136847e+05	3.464240e-01	1.313221e-10
5.969940522321338e+05	3.457272e-01	1.310576e-10
5.983702656536190e+05	3.450314e-01	1.307935e-10
5.997496515746866e+05	3.443365e-01	1.305298e-10
6.011322173087036e+05	3.436427e-01	1.302665e-10
6.025179701858958e+05	3.429498e-01	1.300036e-10
6.039069175533871e+05	3.422580e-01	1.297410e-10
6.052990667752381e+05	3.415672e-01	1.294788e-10
6.066944252324855e+05	3.408773e-01	1.292171e-10
6.080930003231809e+05	3.401885e-01	1.289557e-10
6.094947994624302e+05	3.395007e-01	1.286947e-10
6.108998300824327e+05	3.388139e-01	1.284340e-10
6.123080996325212e+05	3.381281e-01	1.281738e-10
6.137196155792004e+05	3.374433e-01	1.279140e-10
6.151343854061875e+05	3.367595e-01	1.276545e-10
6.165524166144512e+05	3.360767e-01	1.273954e-10
6.179737167222518e+05	3.353950e-01	1.271367e-10
6.193982932651811e+05	3.347142e-01	1.268784e-10
6.208261537962020e+05	3.340345e-01	1.266205e-10
6.222573058856890e+05	3.333558e-01	1.263630e-10
6.236917571214678e+05	3.326781e-01	1.261059e-10
6.251295151088564e+05	3.320014e-01	1.258491e-10
6.265705874707042e+05	3.313257e-01	1.255927e-10
6.280149818474336e+05	3.306510e-01	1.253368e-10
6.294627058970798e+05	3.299774e-01	1.250812e-10
6.309137672953315e+05	3.293048e-01	1.248260e-10
6.323681737355718e+05	3.286332e-01	1.245712e-10
6.338259329289189e+05	3.279626e-01	1.243168e-10
6.352870526042669e+05	3.272930e-01	1.240628e-10
6.367515405083268e+05	3.266245e-01	1.238092e-10
6.382194044056679e+05	3.259570e-01	1.235559e-10
6.396906520787582e+05	3.252905e-01	1.233031e-10
6.411652913280067e+05	3.246250e-01	1.230506e-10
6.426433299718036e+05	3.239605e-01	1.227985e-10
6.441247758465628e+05	3.232971e-01	1.225469e-10
6.456096368067629e+05	3.226347e-01	1.222956e-10
6.470979207249888e+05	3.219733e-01	1.220447e-10
6.485896354919737e+05	3.213130e-01	1.217942e-10
6.500847890166409e+05	3.206536e-01	1.215441e-10
6.515833892261453e+05	3.199953e-01	1.212943e-10
6.530854440659164e+05	3.193380e-01	1.210450e-10
6.545909614996990e+05	3.186818e-01	1.207961e-10
6.560999495095970e+05	3.180265e-01	1.205475e-10
6.576124160961146e+05	3.173724e-01	1.202994e-10
6.591283692781989e+05	3.167192e-01	1.200516e-10
6.606478170932829e+05	3.160670e-01	1.198043e-10
6.621707675973276e+05	3.154159e-01	1.195573e-10
6.636972288648649e+05	3.147658e-01	1.193107e-10
6.652272089890407e+05	3.141168e-01	1.190645e-10
6.667607160816571e+05	3.134687e-01	1.188187e-10
6.682977582732162e+05	3.128217e-01	1.185733e-10
6.698383437129626e+05	3.121758e-01	1.183283e-10
6.713824805689269e+05	3.115308e-01	1.180837e-10
6.729301770279690e+05	3.108869e-01	1.178395e-10
6.744814412958217e+05	3.102440e-01	1.175956e-10
6.760362815971334e+05	3.096022e-01	1.173522e-10
6.775947061755128e+05	3.089614e-01	1.171092e-10
6.791567232935717e+05	3.083216e-01	1.168665e-10
6.807223412329697e+05	3.076828e-01	1.166242e-10
6.822915682944569e+05	3.070451e-01	1.163824e-10
6.838644127979191e+05	3.064084e-01	1.161409e-10
